ElectricityUsage,SystemSize,SystemType,SolarPanel,Inverter,Battery ,NoOfBatteries ,NoOfInveters ,NoOfPanels,Tags,SolarSystem
421-480,4kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,1,8,421-480 On Grid Canadian Solar Canada Goodwee China No battery ,4kW On Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  No battery  
481-600,5kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,1,10,481-600 On Grid Canadian Solar Canada Goodwee China No battery ,5kW On Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  No battery  
601-900,7.5kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,1,17,601-900 On Grid Canadian Solar Canada Goodwee China No battery ,7.5kW On Grid | 17 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  No battery  
901-960,8kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,1,18,901-960 On Grid Canadian Solar Canada Goodwee China No battery ,8kW On Grid | 18 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  No battery  
961-1200,10kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,1,20,961-1200 On Grid Canadian Solar Canada Goodwee China No battery ,10kW On Grid | 20 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  No battery  
1201-1800,15kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,2,30,1201-1800 On Grid Canadian Solar Canada Goodwee China No battery ,15kW On Grid | 30 solar panel- Canadian Solar Canada | 2 Inverter - Goodwee China | Battery-  No battery  
1801-2400,20kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,2,40,1801-2400 On Grid Canadian Solar Canada Goodwee China No battery ,20kW On Grid | 40 solar panel- Canadian Solar Canada | 2 Inverter - Goodwee China | Battery-  No battery  
2401-3600,30kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,3,60,2401-3600 On Grid Canadian Solar Canada Goodwee China No battery ,30kW On Grid | 60 solar panel- Canadian Solar Canada | 3 Inverter - Goodwee China | Battery-  No battery  
3601-4800,40kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,4,80,3601-4800 On Grid Canadian Solar Canada Goodwee China No battery ,40kW On Grid | 80 solar panel- Canadian Solar Canada | 4 Inverter - Goodwee China | Battery-  No battery  
4801-6000,50kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,5,100,4801-6000 On Grid Canadian Solar Canada Goodwee China No battery ,50kW On Grid | 100 solar panel- Canadian Solar Canada | 5 Inverter - Goodwee China | Battery-  No battery  
6001-7200,60kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,6,120,6001-7200 On Grid Canadian Solar Canada Goodwee China No battery ,60kW On Grid | 120 solar panel- Canadian Solar Canada | 6 Inverter - Goodwee China | Battery-  No battery  
0-120,1kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,1,2,0-120 On Grid Canadian Solar Canada SMA Germany  No battery ,1kW On Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  
121-240,2kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,1,4,121-240 On Grid Canadian Solar Canada SMA Germany  No battery ,2kW On Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  
241-420,3.5kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,1,7,241-420 On Grid Canadian Solar Canada SMA Germany  No battery ,3.5kW On Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  
421-480,4kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,1,8,421-480 On Grid Canadian Solar Canada SMA Germany  No battery ,4kW On Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  
481-600,5kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,1,10,481-600 On Grid Canadian Solar Canada SMA Germany  No battery ,5kW On Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  
601-900,7.5kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,1,17,601-900 On Grid Canadian Solar Canada SMA Germany  No battery ,7.5kW On Grid | 17 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  
901-960,8kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,1,18,901-960 On Grid Canadian Solar Canada SMA Germany  No battery ,8kW On Grid | 18 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  
961-1200,10kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,1,20,961-1200 On Grid Canadian Solar Canada SMA Germany  No battery ,10kW On Grid | 20 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  
1201-1800,15kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,2,30,1201-1800 On Grid Canadian Solar Canada SMA Germany  No battery ,15kW On Grid | 30 solar panel- Canadian Solar Canada | 2 Inverter - SMA Germany  | Battery-  No battery  
1801-2400,20kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,2,40,1801-2400 On Grid Canadian Solar Canada SMA Germany  No battery ,20kW On Grid | 40 solar panel- Canadian Solar Canada | 2 Inverter - SMA Germany  | Battery-  No battery  
2401-3600,30kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,3,60,2401-3600 On Grid Canadian Solar Canada SMA Germany  No battery ,30kW On Grid | 60 solar panel- Canadian Solar Canada | 3 Inverter - SMA Germany  | Battery-  No battery  
3601-4800,40kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,4,80,3601-4800 On Grid Canadian Solar Canada SMA Germany  No battery ,40kW On Grid | 80 solar panel- Canadian Solar Canada | 4 Inverter - SMA Germany  | Battery-  No battery  
4801-6000,50kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,5,100,4801-6000 On Grid Canadian Solar Canada SMA Germany  No battery ,50kW On Grid | 100 solar panel- Canadian Solar Canada | 5 Inverter - SMA Germany  | Battery-  No battery  
6001-7200,60kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,6,120,6001-7200 On Grid Canadian Solar Canada SMA Germany  No battery ,60kW On Grid | 120 solar panel- Canadian Solar Canada | 6 Inverter - SMA Germany  | Battery-  No battery  
0-120,1kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,1,2,0-120 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,1kW On Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  
121-240,2kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,1,4,121-240 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,2kW On Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  
241-420,3.5kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,1,7,241-420 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,3.5kW On Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  
421-480,4kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,1,8,421-480 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,4kW On Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  
481-600,5kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,1,10,481-600 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,5kW On Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  
601-900,7.5kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,1,17,601-900 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,7.5kW On Grid | 17 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  
901-960,8kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,1,18,901-960 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,8kW On Grid | 18 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  
961-1200,10kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,1,20,961-1200 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,10kW On Grid | 20 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  
1201-1800,15kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,2,30,1201-1800 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,15kW On Grid | 30 solar panel- Canadian Solar Canada | 2 Inverter - CanadainSolar Canada | Battery-  No battery  
1801-2400,20kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,2,40,1801-2400 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,20kW On Grid | 40 solar panel- Canadian Solar Canada | 2 Inverter - CanadainSolar Canada | Battery-  No battery  
2401-3600,30kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,3,60,2401-3600 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,30kW On Grid | 60 solar panel- Canadian Solar Canada | 3 Inverter - CanadainSolar Canada | Battery-  No battery  
3601-4800,40kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,4,80,3601-4800 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,40kW On Grid | 80 solar panel- Canadian Solar Canada | 4 Inverter - CanadainSolar Canada | Battery-  No battery  
4801-6000,50kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,5,100,4801-6000 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,50kW On Grid | 100 solar panel- Canadian Solar Canada | 5 Inverter - CanadainSolar Canada | Battery-  No battery  
6001-7200,60kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,6,120,6001-7200 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,60kW On Grid | 120 solar panel- Canadian Solar Canada | 6 Inverter - CanadainSolar Canada | Battery-  No battery  
0-120,1kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,1,2,0-120 On Grid Canadian Solar Canada Growatt China No battery ,1kW On Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  
121-240,2kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,1,4,121-240 On Grid Canadian Solar Canada Growatt China No battery ,2kW On Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  
241-420,3.5kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,1,7,241-420 On Grid Canadian Solar Canada Growatt China No battery ,3.5kW On Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  
421-480,4kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,1,8,421-480 On Grid Canadian Solar Canada Growatt China No battery ,4kW On Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  
481-600,5kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,1,10,481-600 On Grid Canadian Solar Canada Growatt China No battery ,5kW On Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  
601-900,7.5kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,1,17,601-900 On Grid Canadian Solar Canada Growatt China No battery ,7.5kW On Grid | 17 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  
901-960,8kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,1,18,901-960 On Grid Canadian Solar Canada Growatt China No battery ,8kW On Grid | 18 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  
961-1200,10kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,1,20,961-1200 On Grid Canadian Solar Canada Growatt China No battery ,10kW On Grid | 20 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  
1201-1800,15kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,2,30,1201-1800 On Grid Canadian Solar Canada Growatt China No battery ,15kW On Grid | 30 solar panel- Canadian Solar Canada | 2 Inverter - Growatt China | Battery-  No battery  
1801-2400,20kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,2,40,1801-2400 On Grid Canadian Solar Canada Growatt China No battery ,20kW On Grid | 40 solar panel- Canadian Solar Canada | 2 Inverter - Growatt China | Battery-  No battery  
2401-3600,30kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,3,60,2401-3600 On Grid Canadian Solar Canada Growatt China No battery ,30kW On Grid | 60 solar panel- Canadian Solar Canada | 3 Inverter - Growatt China | Battery-  No battery  
3601-4800,40kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,4,80,3601-4800 On Grid Canadian Solar Canada Growatt China No battery ,40kW On Grid | 80 solar panel- Canadian Solar Canada | 4 Inverter - Growatt China | Battery-  No battery  
4801-6000,50kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,5,100,4801-6000 On Grid Canadian Solar Canada Growatt China No battery ,50kW On Grid | 100 solar panel- Canadian Solar Canada | 5 Inverter - Growatt China | Battery-  No battery  
6001-7200,60kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,6,120,6001-7200 On Grid Canadian Solar Canada Growatt China No battery ,60kW On Grid | 120 solar panel- Canadian Solar Canada | 6 Inverter - Growatt China | Battery-  No battery  
0-120,1kW,On Grid,Panasonic Japan,Goodwee China,No battery ,0,1,2,0-120 On Grid Panasonic Japan Goodwee China No battery ,1kW On Grid | 2 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  No battery  
121-240,2kW,On Grid,Panasonic Japan,Goodwee China,No battery ,0,1,4,121-240 On Grid Panasonic Japan Goodwee China No battery ,2kW On Grid | 4 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  No battery  
241-420,3.5kW,On Grid,Panasonic Japan,Goodwee China,No battery ,0,1,7,241-420 On Grid Panasonic Japan Goodwee China No battery ,3.5kW On Grid | 7 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  No battery  
421-480,4kW,On Grid,Panasonic Japan,Goodwee China,No battery ,0,1,8,421-480 On Grid Panasonic Japan Goodwee China No battery ,4kW On Grid | 8 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  No battery  
481-600,5kW,On Grid,Panasonic Japan,Goodwee China,No battery ,0,1,10,481-600 On Grid Panasonic Japan Goodwee China No battery ,5kW On Grid | 10 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  No battery  
601-900,7.5kW,On Grid,Panasonic Japan,Goodwee China,No battery ,0,1,17,601-900 On Grid Panasonic Japan Goodwee China No battery ,7.5kW On Grid | 17 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  No battery  
901-960,8kW,On Grid,Panasonic Japan,Goodwee China,No battery ,0,1,18,901-960 On Grid Panasonic Japan Goodwee China No battery ,8kW On Grid | 18 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  No battery  
961-1200,10kW,On Grid,Panasonic Japan,Goodwee China,No battery ,0,1,20,961-1200 On Grid Panasonic Japan Goodwee China No battery ,10kW On Grid | 20 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  No battery  
1201-1800,15kW,On Grid,Panasonic Japan,Goodwee China,No battery ,0,2,30,1201-1800 On Grid Panasonic Japan Goodwee China No battery ,15kW On Grid | 30 solar panel- Panasonic Japan | 2 Inverter - Goodwee China | Battery-  No battery  
1801-2400,20kW,On Grid,Panasonic Japan,Goodwee China,No battery ,0,2,40,1801-2400 On Grid Panasonic Japan Goodwee China No battery ,20kW On Grid | 40 solar panel- Panasonic Japan | 2 Inverter - Goodwee China | Battery-  No battery  
2401-3600,30kW,On Grid,Panasonic Japan,Goodwee China,No battery ,0,3,60,2401-3600 On Grid Panasonic Japan Goodwee China No battery ,30kW On Grid | 60 solar panel- Panasonic Japan | 3 Inverter - Goodwee China | Battery-  No battery  
3601-4800,40kW,On Grid,Panasonic Japan,Goodwee China,No battery ,0,4,80,3601-4800 On Grid Panasonic Japan Goodwee China No battery ,40kW On Grid | 80 solar panel- Panasonic Japan | 4 Inverter - Goodwee China | Battery-  No battery  
4801-6000,50kW,On Grid,Panasonic Japan,Goodwee China,No battery ,0,5,100,4801-6000 On Grid Panasonic Japan Goodwee China No battery ,50kW On Grid | 100 solar panel- Panasonic Japan | 5 Inverter - Goodwee China | Battery-  No battery  
6001-7200,60kW,On Grid,Panasonic Japan,Goodwee China,No battery ,0,6,120,6001-7200 On Grid Panasonic Japan Goodwee China No battery ,60kW On Grid | 120 solar panel- Panasonic Japan | 6 Inverter - Goodwee China | Battery-  No battery  
0-120,1kW,On Grid,Panasonic Japan,SMA Germany ,No battery ,0,1,2,0-120 On Grid Panasonic Japan SMA Germany  No battery ,1kW On Grid | 2 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  No battery  
121-240,2kW,On Grid,Panasonic Japan,SMA Germany ,No battery ,0,1,4,121-240 On Grid Panasonic Japan SMA Germany  No battery ,2kW On Grid | 4 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  No battery  
241-420,3.5kW,On Grid,Panasonic Japan,SMA Germany ,No battery ,0,1,7,241-420 On Grid Panasonic Japan SMA Germany  No battery ,3.5kW On Grid | 7 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  No battery  
421-480,4kW,On Grid,Panasonic Japan,SMA Germany ,No battery ,0,1,8,421-480 On Grid Panasonic Japan SMA Germany  No battery ,4kW On Grid | 8 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  No battery  
481-600,5kW,On Grid,Panasonic Japan,SMA Germany ,No battery ,0,1,10,481-600 On Grid Panasonic Japan SMA Germany  No battery ,5kW On Grid | 10 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  No battery  
601-900,7.5kW,On Grid,Panasonic Japan,SMA Germany ,No battery ,0,1,17,601-900 On Grid Panasonic Japan SMA Germany  No battery ,7.5kW On Grid | 17 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  No battery  
